2025-08-01 21:52:48,401 - WARNING - {"timestamp": "2025-08-01T21:52:48.401943", "threat_type": "anomaly", "source_ip": "3.233.158.26", "destination_ip": "192.168.0.164", "confidence": 0.570716803794986, "details": {"type": "anomaly", "score": -0.570716803794986, "confidence": 0.570716803794986}}
2025-08-01 21:52:49,345 - WARNING - {"timestamp": "2025-08-01T21:52:49.345743", "threat_type": "signature", "source_ip": "192.168.0.164", "destination_ip": "203.192.223.210", "confidence": 1.0, "details": {"type": "signature", "rule": "syn_flood", "confidence": 1.0}}
2025-08-01 21:52:49,345 - CRITICAL - High confidence threat detected: {"timestamp": "2025-08-01T21:52:49.345743", "threat_type": "signature", "source_ip": "192.168.0.164", "destination_ip": "203.192.223.210", "confidence": 1.0, "details": {"type": "signature", "rule": "syn_flood", "confidence": 1.0}}
2025-08-01 21:52:49,362 - WARNING - {"timestamp": "2025-08-01T21:52:49.361876", "threat_type": "signature", "source_ip": "192.168.0.164", "destination_ip": "203.192.223.210", "confidence": 1.0, "details": {"type": "signature", "rule": "port_scan", "confidence": 1.0}}
2025-08-01 21:52:49,365 - CRITICAL - High confidence threat detected: {"timestamp": "2025-08-01T21:52:49.361876", "threat_type": "signature", "source_ip": "192.168.0.164", "destination_ip": "203.192.223.210", "confidence": 1.0, "details": {"type": "signature", "rule": "port_scan", "confidence": 1.0}}
2025-08-01 21:52:49,369 - WARNING - {"timestamp": "2025-08-01T21:52:49.369365", "threat_type": "signature", "source_ip": "203.192.223.210", "destination_ip": "192.168.0.164", "confidence": 1.0, "details": {"type": "signature", "rule": "syn_flood", "confidence": 1.0}}
2025-08-01 21:52:49,369 - CRITICAL - High confidence threat detected: {"timestamp": "2025-08-01T21:52:49.369365", "threat_type": "signature", "source_ip": "203.192.223.210", "destination_ip": "192.168.0.164", "confidence": 1.0, "details": {"type": "signature", "rule": "syn_flood", "confidence": 1.0}}
2025-08-01 21:52:49,369 - WARNING - {"timestamp": "2025-08-01T21:52:49.369365", "threat_type": "signature", "source_ip": "203.192.223.210", "destination_ip": "192.168.0.164", "confidence": 1.0, "details": {"type": "signature", "rule": "port_scan", "confidence": 1.0}}
2025-08-01 21:52:49,369 - CRITICAL - High confidence threat detected: {"timestamp": "2025-08-01T21:52:49.369365", "threat_type": "signature", "source_ip": "203.192.223.210", "destination_ip": "192.168.0.164", "confidence": 1.0, "details": {"type": "signature", "rule": "port_scan", "confidence": 1.0}}
2025-08-01 21:52:49,369 - WARNING - {"timestamp": "2025-08-01T21:52:49.369365", "threat_type": "signature", "source_ip": "192.168.0.164", "destination_ip": "203.192.223.210", "confidence": 1.0, "details": {"type": "signature", "rule": "port_scan", "confidence": 1.0}}
2025-08-01 21:52:49,369 - CRITICAL - High confidence threat detected: {"timestamp": "2025-08-01T21:52:49.369365", "threat_type": "signature", "source_ip": "192.168.0.164", "destination_ip": "203.192.223.210", "confidence": 1.0, "details": {"type": "signature", "rule": "port_scan", "confidence": 1.0}}
2025-08-01 21:52:49,369 - WARNING - {"timestamp": "2025-08-01T21:52:49.369365", "threat_type": "anomaly", "source_ip": "192.168.0.164", "destination_ip": "203.192.223.210", "confidence": 0.5420493254210818, "details": {"type": "anomaly", "score": -0.5420493254210818, "confidence": 0.5420493254210818}}
2025-08-01 21:52:49,385 - WARNING - {"timestamp": "2025-08-01T21:52:49.385205", "threat_type": "anomaly", "source_ip": "192.168.0.164", "destination_ip": "203.192.223.210", "confidence": 0.6289170662862326, "details": {"type": "anomaly", "score": -0.6289170662862326, "confidence": 0.6289170662862326}}
2025-08-01 21:52:49,387 - WARNING - {"timestamp": "2025-08-01T21:52:49.387642", "threat_type": "signature", "source_ip": "203.192.223.210", "destination_ip": "192.168.0.164", "confidence": 1.0, "details": {"type": "signature", "rule": "port_scan", "confidence": 1.0}}
2025-08-01 21:52:49,387 - CRITICAL - High confidence threat detected: {"timestamp": "2025-08-01T21:52:49.387642", "threat_type": "signature", "source_ip": "203.192.223.210", "destination_ip": "192.168.0.164", "confidence": 1.0, "details": {"type": "signature", "rule": "port_scan", "confidence": 1.0}}
2025-08-01 21:52:49,387 - WARNING - {"timestamp": "2025-08-01T21:52:49.387642", "threat_type": "anomaly", "source_ip": "203.192.223.210", "destination_ip": "192.168.0.164", "confidence": 0.5420493254210818, "details": {"type": "anomaly", "score": -0.5420493254210818, "confidence": 0.5420493254210818}}
2025-08-01 21:52:49,387 - WARNING - {"timestamp": "2025-08-01T21:52:49.387642", "threat_type": "anomaly", "source_ip": "203.192.223.210", "destination_ip": "192.168.0.164", "confidence": 0.6289170662862326, "details": {"type": "anomaly", "score": -0.6289170662862326, "confidence": 0.6289170662862326}}
2025-08-01 21:52:49,432 - WARNING - {"timestamp": "2025-08-01T21:52:49.432744", "threat_type": "anomaly", "source_ip": "192.168.0.164", "destination_ip": "203.192.223.210", "confidence": 0.5051317687909768, "details": {"type": "anomaly", "score": -0.5051317687909768, "confidence": 0.5051317687909768}}
2025-08-01 21:52:50,520 - WARNING - {"timestamp": "2025-08-01T21:52:50.520713", "threat_type": "signature", "source_ip": "192.168.0.164", "destination_ip": "203.192.234.161", "confidence": 1.0, "details": {"type": "signature", "rule": "syn_flood", "confidence": 1.0}}
2025-08-01 21:52:50,532 - CRITICAL - High confidence threat detected: {"timestamp": "2025-08-01T21:52:50.520713", "threat_type": "signature", "source_ip": "192.168.0.164", "destination_ip": "203.192.234.161", "confidence": 1.0, "details": {"type": "signature", "rule": "syn_flood", "confidence": 1.0}}
2025-08-01 21:52:50,532 - WARNING - {"timestamp": "2025-08-01T21:52:50.532738", "threat_type": "signature", "source_ip": "192.168.0.164", "destination_ip": "203.192.234.161", "confidence": 1.0, "details": {"type": "signature", "rule": "port_scan", "confidence": 1.0}}
